Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Thu Mar 22 19:04:04 +0000 2018,0.0,1.0,0.0,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. 🐾… https://t.co/0hDQP6X1wA,45,@BBC
0.0516,Thu Mar 22 18:30:09 +0000 2018,0.159,0.625,0.216,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",46,@BBC
-0.25,Thu Mar 22 17:33:04 +0000 2018,0.083,0.917,0.0,"The cost of living alone, rather than living as a couple, is more than £1000 a year. 💔🏠

This is the price of being… https://t.co/udzI9xGci6",47,@BBC
0.0,Thu Mar 22 17:03:54 +0000 2018,0.0,1.0,0.0,.@ManUtd have applied to have a professional women's team. ⚽️ https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,48,@BBC
0.128,Thu Mar 22 17:03:05 +0000 2018,0.092,0.795,0.113,"Worried about your impact on the planet? 🌍💚

This is how to make your next holiday more eco-friendly. ♻️🌴

👉… https://t.co/wCmDZJledV",49,@BBC
-0.4753,Thu Mar 22 16:04:06 +0000 2018,0.128,0.872,0.0,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. 🥕🥔🍎

👉… https://t.co/MMgrC8yseG",50,@BBC
0.4184,Thu Mar 22 15:00:43 +0000 2018,0.0,0.859,0.141,"RT @mixital: 🗡️New #DoctorWho writing challenge!🗡️
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",51,@BBC
-0.9168,Thu Mar 22 15:00:01 +0000 2018,0.385,0.615,0.0,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",52,@BBC
0.6705,Thu Mar 22 14:30:10 +0000 2018,0.1,0.594,0.306,"🎶Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",53,@BBC
0.4215,Thu Mar 22 13:53:48 +0000 2018,0.0,0.882,0.118,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",54,@BBC
-0.4767,Thu Mar 22 13:33:04 +0000 2018,0.129,0.871,0.0,"Has @chrishughes_22 read any of his own book? 😂🤦

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",55,@BBC
0.0,Thu Mar 22 13:14:13 +0000 2018,0.0,1.0,0.0,Secret Universe: The Hidden Life of the Cell is on @BBCFOUR tonight at 8pm. 🔬 https://t.co/PVf4thZOb3,56,@BBC
-0.7184,Thu Mar 22 13:02:00 +0000 2018,0.24,0.76,0.0,A battle is raging in your body right now. This is how the TRIM 21 protein defends your cells from viruses. https://t.co/XUAPbRS4j5,57,@BBC
